\TerraForm> az resource list --resource-group $rg_name --query "[].{Resource_Name: name, Resource_Type:type}" -o table
Resource_Name                                         Resource_Type
----------------------------------------------------  ---------------------------------------
myproject-avset                                       Microsoft.Compute/availabilitySets
myproject-md1                                         Microsoft.Compute/disks
myproject-md2                                         Microsoft.Compute/disks
myproject-md3                                         Microsoft.Compute/disks
myproject-md4                                         Microsoft.Compute/disks
myproject-md5                                         Microsoft.Compute/disks
myproject-vm1_disk1_2b4d358831d54b57bd0fbd365c43f71c  Microsoft.Compute/disks
myproject-vm2_disk1_487bea1a3585497993c924ddefee83e6  Microsoft.Compute/disks
myproject-vm3_disk1_e04583e236b84f289bb7abc662571497  Microsoft.Compute/disks
myproject-vm4_disk1_0fc211a3e4f146c0b938b2a80c7b342f  Microsoft.Compute/disks
myproject-vm5_disk1_cb4479c466574f9b953b340043bd40c4  Microsoft.Compute/disks
myproject-vmimage                                     Microsoft.Compute/images
myproject-vm1                                         Microsoft.Compute/virtualMachines
myproject-vm2                                         Microsoft.Compute/virtualMachines
myproject-vm3                                         Microsoft.Compute/virtualMachines
myproject-vm4                                         Microsoft.Compute/virtualMachines
myproject-vm5                                         Microsoft.Compute/virtualMachines
myproject-lb                                          Microsoft.Network/loadBalancers
myproject-nic1                                        Microsoft.Network/networkInterfaces
myproject-nic2                                        Microsoft.Network/networkInterfaces
myproject-nic3                                        Microsoft.Network/networkInterfaces
myproject-nic4                                        Microsoft.Network/networkInterfaces
myproject-nic5                                        Microsoft.Network/networkInterfaces
myproject-nsg                                         Microsoft.Network/networkSecurityGroups
myproject-public-ip                                   Microsoft.Network/publicIPAddresses
myproject-vnet                                        Microsoft.Network/virtualNetworks
